Seq, fpogx, fpogy, fpogd, s
25,0.28918,0.18441,1,0
25,0.09964,0.44477,2,2
25,0.09312,0.59027,1,3
25,0.08353,0.63056,0,4
25,0.09019,0.61773,1,3
25,0.0943,0.62752,2,4
25,0.11253,0.59816,2,3
25,0.11348,0.43962,2,2
25,0.10769,0.38693,0,1
25,0.16718,0.50371,2,2
25,0.82978,0.8841,1,5
25,0.70259,0.811,0,6
25,0.13121,0.40702,1,2
25,0.12472,0.28926,0,1
26,0.12719,0.28478,0,6
26,0.1385,0.28561,1,1
26,0.14751,0.28406,1,6
26,0.22863,0.29425,0,1
26,0.24186,0.26035,0,6
26,0.25404,0.2471,0,6
26,0.24925,0.24199,0,0
26,0.21006,0.27509,0,6
26,0.10866,0.38458,1,1
26,0.11935,0.43848,1,2
26,0.16973,0.38512,0,1
26,0.17245,0.3968,2,2
26,0.19276,0.39169,0,6
26,0.10655,0.50547,2,2
26,0.11542,0.51162,1,3
26,0.15462,0.48518,2,2
26,0.22218,0.51192,0,3
26,0.23141,0.50604,1,2
26,0.23466,0.51035,1,3
26,0.24413,0.5062,2,2
26,0.27736,0.5126,0,3
26,0.26863,0.50639,0,2
26,0.16125,0.60114,2,3
26,0.20122,0.60273,2,3
26,0.14073,0.64514,2,4
26,0.1329,0.60889,0,3
26,0.10229,0.39455,1,2
26,0.10979,0.39259,0,6
26,0.21483,0.40083,2,2
26,0.23095,0.38831,0,1
26,0.23192,0.39861,1,2
26,0.20906,0.28966,0,1
26,0.21674,0.2607,1,6
26,0.14271,0.24117,0,0
26,0.15654,0.2753,0,6
26,0.23921,0.36116,0,1
26,0.81692,0.88991,2,5
26,0.17295,0.23836,0,0
26,0.16923,0.25226,0,6
27,0.16023,0.22539,1,0
27,0.09762,0.3784,0,1
27,0.12634,0.40392,1,2
27,0.15892,0.30477,1,1
27,0.19071,0.25758,0,6
27,0.21629,0.28706,1,1
27,0.25171,0.27294,1,6
27,0.19441,0.31566,0,1
27,0.16003,0.39415,2,2
27,0.18554,0.38113,1,1
27,0.1918,0.42386,2,2
27,0.2217,0.37777,2,1
27,0.14625,0.39781,0,2
27,0.13225,0.39033,0,1
27,0.10586,0.49308,1,2
27,0.09959,0.52604,2,3
27,0.09115,0.50454,1,2
27,0.14686,0.51231,2,3
27,0.16456,0.50389,1,2
27,0.16873,0.51045,1,3
27,0.19572,0.50652,2,2
27,0.21361,0.51401,0,3
27,0.20644,0.49466,2,2
27,0.17051,0.51223,1,3
27,0.17216,0.50568,2,2
27,0.1039,0.54275,1,3
27,0.04866,0.48184,0,2
27,0.16703,0.61542,2,3
27,0.16146,0.62715,0,4
27,0.17202,0.6226,2,3
27,0.12519,0.68759,2,4
